ID,Movie_Name,Year
1,"Bad Samaritan",0
2,"Avengers: Infinity War",0
3,Rampage,0
4,"Truth or Dare",0
5,"Incredibles 2",0
6,"A Star Is Born",0
7,"Kung Fu Panda",0
8,Shrek,0
9,"Shrek 2",0
10,"Love Actually",0
11,Zombieland,0
12,"50 First Dates",0
13,"The Secret Life of Pets 2",0
14,"The Secret Life of Pets",0
15,"Late Night",0
16,"The Nightingale",0
17,"Blue Ruin",0
18,"Hidden Figures",0
19,"The Help",0
20,"Pretty Ugly People",0
21,"Green Room",0
22,"A Long Way Down",0
23,"28 Weeks Later",0
24,"Captain Fantastic",0
25,"The Road",0
